geo_name_raw,municipality_name,municipality_type,population_2021,population_density_per_km2,population_growth_2016_2021_pct,land_area_km2,population_scale_index_0_100,household_median_total_income_2020,income_index_0_100,children_0_14_pct,youth_15_24_pct,young_adult_20_34_pct,working_age_25_64_pct,seniors_65_plus_pct,median_age,family_with_children_pct,one_person_household_pct,average_household_size,employment_rate_pct,unemployment_rate_pct,participation_rate_pct,immigrant_pct,visible_minority_pct,diversity_index_0_100,renter_pct,renter_average_monthly_shelter_cost,rent_cost_index_0_100,rent_pressure_index_0_100,retail_trade_labour_pct,accommodation_food_labour_pct,other_services_labour_pct,density_index_0_100,market_base_index_0_100
"Amherstburg, Town (T)",Amherstburg,T,23524.0,128.0,7.2,183.76,67.8147,98000.0,62.8028,15.8561,11.5839,15.7924,51.4581,21.1486,45.6,55.8042,22.3491,2.5,54.0,12.0,61.4,10.0323,5.5688,6.2957,14.6196,1123.0,42.0725,33.8366,11.2293,5.2318,3.4879,57.8833,52.9527
"Armour, Township (TP)",Armour,TP,1459.0,8.9,3.2,163.52,49.088,69500.0,38.1488,11.6518,5.1405,11.6518,52.0905,31.8711,56.8,34.7368,28.3582,2.2,39.2,17.7,47.1,8.5675,1.3708,3.684,6.7669,800.0,23.7826,18.6779,8.2645,6.6116,4.9587,27.3055,34.5495
"Armstrong, Township (TP)",Armstrong,TP,1199.0,13.3,2.8,90.16,47.7668,72000.0,40.3114,22.9358,9.5913,15.0125,46.2886,20.0167,39.2,52.9412,29.703,2.4,54.7,6.7,58.0,2.5021,2.9191,2.3353,29.703,690.0,17.5538,21.1985,6.7961,3.8835,5.8252,31.6853,37.4969
"Arnprior, Town (T)",Arnprior,T,9629.0,738.5,9.5,13.04,61.7973,75500.0,43.3391,15.7337,8.1005,15.9414,49.0705,27.1575,48.0,51.444,33.4495,2.2,50.2,9.4,55.3,7.2178,4.1541,4.6266,36.6589,1085.0,39.9207,38.9422,13.0787,4.9769,4.6296,78.6811,52.0332
"Arran-Elderslie, Municipality (MU)",Arran-Elderslie,MU,6913.0,15.1,1.6,458.76,59.565,80000.0,47.2318,20.107,9.0409,15.8397,48.3148,22.4215,42.0,53.3505,28.5458,2.4,60.5,7.1,65.2,3.6887,1.5912,2.0866,22.3022,1028.0,36.6931,32.3758,12.6437,3.0172,4.3103,33.0974,43.598
"Ashfield-Colborne-Wawanosh, Township (TP)",Ashfield-Colborne-Wawanosh,TP,5884.0,10.0,8.5,586.88,58.4794,78000.0,45.5017,17.76,9.7723,14.1061,44.6125,27.7872,51.2,42.6184,23.3051,2.5,54.5,5.1,57.4,8.1577,1.1897,3.501,9.7665,970.0,33.4088,26.3161,8.1967,3.4608,3.8251,28.5604,40.7785
"Asphodel-Norwood, Township (TP)",Asphodel-Norwood,TP,4658.0,28.8,13.4,161.62,56.9056,80000.0,47.2318,16.316,9.1241,16.2087,50.4508,24.0447,46.0,49.1289,20.8791,2.5,52.4,10.0,58.2,5.6891,3.1129,3.5477,12.973,1100.0,40.7701,32.431,14.6453,4.3478,4.119,40.4306,43.1892
"Assiginack, Township (TP)",Assiginack,TP,1008.0,4.5,-0.5,224.89,46.5988,73500.0,41.609,12.8968,9.4246,11.4087,50.0992,28.2738,53.6,41.6667,31.1111,2.2,52.0,5.3,55.0,5.4563,0.0,1.9097,17.7778,720.0,19.2525,18.8101,13.0435,5.4348,6.5217,20.3046,35.204
"Athens, Township (TP)",Athens,TP,3042.0,23.5,0.8,129.54,54.0358,85000.0,51.5571,14.2998,9.8619,13.8067,51.7751,24.1617,50.8,52.1277,21.8107,2.5,51.8,13.0,59.5,3.9448,0.6575,1.7094,9.465,840.0,26.0476,21.0728,9.5563,6.4846,2.7304,38.0981,42.4597
"Atikokan, Town (T)",Atikokan,T,2642.0,8.4,-4.0,313.64,53.0864,69000.0,37.7163,13.626,10.2195,13.626,49.9621,26.4951,51.6,50.3401,40.4762,2.1,46.4,7.6,50.5,5.1098,3.2173,3.4538,17.4603,740.0,20.3851,19.5076,9.633,5.0459,3.211,26.6882,37.0949
"Attawapiskat 91A, Indian reserve (IRI)",Attawapiskat 91A,IRI,1586.0,905.0,5.7,1.75,49.65,53600.0,24.3945,34.6784,19.8613,24.5902,40.0378,5.3594,22.4,85.3333,11.1111,4.4,31.7,8.3,34.6,,0.6305,0.3153,29.4118,,,8.8235,11.7647,0.0,2.9412,81.0997,46.9796
"Augusta, Township (TP)",Augusta,TP,7386.0,23.5,0.4,313.77,60.0108,96000.0,61.0727,14.2161,10.0867,14.0807,51.3133,24.3027,49.2,46.7641,19.1525,2.5,55.5,7.9,60.2,5.6187,1.2862,2.6097,8.1218,1100.0,40.7701,30.9756,11.1989,3.9526,3.4256,38.0981,46.5671
"Aurora, Town (T)",Aurora,T,62057.0,1241.1,11.9,50.0,74.3498,119000.0,80.9689,17.0488,12.8914,16.7991,54.6755,15.3971,42.0,68.9608,17.089,2.9,59.4,11.8,67.3,36.3698,38.5049,32.2345,18.7587,1860.0,83.8052,64.2913,11.3808,4.4016,3.3765,84.8578,65.6197
"Aylmer, Town (T)",Aylmer,T,7699.0,1208.6,2.8,6.37,60.2904,73500.0,41.609,20.2624,11.7548,19.2882,47.8634,20.1325,39.2,57.3427,28.2219,2.5,54.6,9.8,60.4,16.8204,3.1173,7.5237,31.3214,1034.0,37.0328,35.3194,9.7765,5.7263,5.3073,84.542,52.4164
"Bancroft, Town (T)",Bancroft,T,4065.0,17.9,4.7,227.54,55.9884,57200.0,27.5087,12.1771,8.1181,13.0381,45.6335,34.0713,56.0,46.7249,35.0,2.1,41.5,11.8,47.3,5.0431,2.337,2.9336,34.4444,864.0,27.4066,29.5179,16.9381,8.7948,5.8632,35.0072,36.6687
"Barrie, City (CY)",Barrie,CY,147829.0,1493.1,4.5,99.01,80.1976,93000.0,58.4775,16.7389,12.9474,21.393,54.4142,15.9069,39.2,64.048,23.9266,2.6,58.1,12.5,66.4,16.6679,16.81,14.5538,32.324,1526.0,64.8924,55.1219,13.3342,6.2892,3.9068,87.0579,63.0057
"Bayham, Municipality (MU)",Bayham,MU,7096.0,29.0,-4.1,244.6,59.741,83000.0,49.827,25.2255,14.5857,16.6995,45.4481,14.938,34.4,60.0,18.7638,3.1,54.3,10.6,60.8,18.3202,2.0434,7.4655,11.479,870.0,27.7463,22.8661,7.2785,3.6392,5.2215,40.5103,44.6694
"Beckwith, Township (TP)",Beckwith,TP,9021.0,37.7,18.0,239.31,61.3579,126000.0,87.0242,17.2376,10.2539,15.0205,56.1468,16.2953,44.4,52.4648,15.5786,2.7,63.3,6.4,67.7,6.9837,3.4919,4.1902,3.7092,1080.0,39.6376,28.8591,9.5286,4.6138,5.5165,43.5432,54.4543
"Belleville, City (CY)",Belleville,CY,55071.0,222.8,8.6,247.15,73.5452,73000.0,41.1765,14.9353,10.7679,18.2038,50.6346,23.6604,45.2,53.7439,31.1663,2.3,49.2,11.9,55.8,9.061,9.0701,7.9815,37.4549,1122.0,42.0159,40.6476,13.8799,7.0105,3.4448,64.4453,52.0356
"Black River-Matheson, Township (TP)",Black River-Matheson,TP,2572.0,2.2,5.5,1161.89,52.9055,75000.0,42.9066,18.0793,9.7201,15.7465,51.1275,21.3841,46.8,46.0526,28.7037,2.4,54.0,8.6,58.8,4.2768,1.3608,2.1773,17.5926,780.0,22.6501,21.1328,7.438,2.0661,7.8512,13.8538,36.6797
"Blandford-Blenheim, Township (TP)",Blandford-Blenheim,TP,7565.0,19.8,2.2,382.03,60.1721,107000.0,70.5882,17.5149,11.1038,17.0522,53.8665,17.3827,42.8,56.1822,16.9065,2.7,64.3,6.9,69.2,7.0059,2.9081,3.926,14.5683,948.0,32.1631,26.8847,7.3113,3.3019,5.4245,36.1481,49.2964
"Blind River, Town (T)",Blind River,T,3422.0,6.7,-1.4,513.98,54.8286,66500.0,35.5536,14.173,8.9129,12.7119,50.4091,26.7387,52.8,46.4115,32.8125,2.1,45.4,11.7,51.6,4.0912,1.315,2.0894,29.375,740.0,20.3851,23.082,15.917,5.8824,5.5363,24.3122,36.4928
"Bluewater, Municipality (MU)",Bluewater,MU,7540.0,18.1,5.7,416.7,60.1499,85000.0,51.5571,14.5225,9.748,15.4509,48.4748,27.2546,52.0,43.2314,29.5008,2.3,56.4,5.9,60.0,6.8966,0.9947,2.941,16.5152,852.0,26.7271,23.6635,9.247,4.6235,3.3025,35.1326,45.1392
"Bonfield, Township (TP)",Bonfield,TP,2146.0,10.4,7.8,206.22,51.6861,77000.0,44.6367,15.3774,8.6207,15.8434,56.384,20.2703,48.0,48.5075,24.7191,2.4,48.1,7.3,51.9,2.3299,2.0969,1.8639,11.1732,920.0,30.5776,24.7563,13.8298,2.1277,5.3191,28.9858,37.7433
"Bonnechere Valley, Township (TP)",Bonnechere Valley,TP,3898.0,6.6,6.1,588.36,55.7058,68000.0,36.8512,13.0836,9.2355,11.9292,46.9472,30.2719,54.4,44.0678,31.1239,2.2,44.9,8.9,49.3,4.746,1.1544,2.2383,16.3793,900.0,29.4451,25.5253,11.8012,4.3478,5.2795,24.1565,36.2483
"Bracebridge, Town (T)",Bracebridge,T,17305.0,28.1,8.1,615.2,65.7464,85000.0,51.5571,13.3487,9.1014,14.5912,49.4944,28.0266,51.2,49.4163,27.9391,2.3,53.5,9.9,59.4,7.1945,2.9471,4.061,20.4011,1249.0,49.2072,40.5654,15.1032,4.9558,4.3658,40.1475,46.8362
"Bradford West Gwillimbury, Town (T)",Bradford West Gwillimbury,T,42880.0,213.7,21.4,200.68,71.8595,114000.0,76.6436,21.4202,10.8442,18.4118,54.7808,12.9081,37.6,70.6612,13.6787,3.2,61.6,11.4,69.4,32.2528,30.667,26.7741,16.5114,1608.0,69.5357,53.6284,12.3388,4.4909,4.0685,63.9509,59.6507
"Brampton, City (CY)",Brampton,CY,656480.0,2469.0,10.6,265.89,90.2415,111000.0,74.0484,17.9229,15.1726,24.3336,54.4403,12.465,36.0,73.934,12.1335,3.6,57.9,13.3,66.8,52.3535,79.7968,59.1362,21.9159,1628.0,70.6682,56.0425,11.7668,4.7417,3.199,93.0453,70.9597
"Brant, City (CY)",Brant,CY,39474.0,48.3,10.8,817.66,71.3019,106000.0,69.7232,16.9859,11.2479,15.8459,51.4009,20.3805,44.0,56.3482,18.9812,2.7,59.8,8.8,65.6,10.4879,6.5613,7.0065,12.2819,1271.0,50.453,39.0017,9.4823,4.3541,4.2574,46.4266,54.1167
"Brantford, City (CY)",Brantford,CY,104688.0,1061.2,6.2,98.65,77.8728,79500.0,46.7993,17.1653,11.582,19.5247,52.3508,18.9133,40.8,62.141,27.9664,2.5,53.8,12.4,61.4,15.3743,15.0734,13.1018,34.0012,1189.0,45.8097,42.2672,11.7699,6.0172,4.2336,82.9942,58.4565
"Brighton, Municipality (MU)",Brighton,MU,12108.0,54.2,2.2,223.24,63.3405,81000.0,48.0969,11.2735,8.0525,13.3796,47.6131,33.0773,56.0,40.6045,24.2273,2.3,42.6,10.2,47.5,12.0994,4.4599,6.4957,14.2572,1174.0,44.9604,35.7494,10.8395,5.101,4.5696,47.773,44.8927
"Brock, Township (TP)",Brock,TP,12567.0,29.7,7.9,422.64,63.5912,92000.0,57.6125,16.9492,9.1112,16.8696,51.8819,22.0419,44.4,55.1075,23.1975,2.6,58.2,8.6,63.8,7.838,4.5755,5.0668,18.3716,1188.0,45.7531,37.5387,10.6383,3.7037,4.5705,40.785,48.2993
"Brockton, Municipality (MU)",Brockton,MU,9784.0,17.3,3.4,564.64,61.9048,84000.0,50.692,17.4775,10.0675,15.6378,49.213,23.4056,44.8,51.8519,28.9082,2.4,58.1,6.4,62.1,3.9861,1.993,2.4836,20.8437,988.0,34.4281,30.3528,9.4693,4.2664,5.2029,34.6229,44.8729
"Brockville, City (CY)",Brockville,CY,22116.0,1057.8,2.5,20.91,67.3989,63600.0,33.045,12.0275,10.0606,16.0743,47.9969,29.9331,51.6,49.9593,38.5915,2.0,44.4,14.5,51.9,10.3771,6.3077,6.8469,42.884,1014.0,35.9003,37.9954,15.8479,8.1352,3.5394,82.956,51.4733
"Brooke-Alvinston, Municipality (MU)",Brooke-Alvinston,MU,2359.0,7.6,-2.2,311.41,52.3234,82000.0,48.9619,18.44,12.7173,18.44,49.1734,19.4998,41.6,56.2044,24.5902,2.6,57.2,9.2,63.0,4.663,1.4837,2.3739,15.7609,820.0,24.9151,22.1688,7.2034,4.661,4.661,25.6288,39.1952
"Brudenell, Lyndoch and Raglan, Township (TP)","Brudenell, Lyndoch and Raglan",TP,1552.0,2.2,3.3,701.29,49.5041,62000.0,31.6609,11.2758,9.0206,10.6314,50.5799,29.6392,55.6,43.299,29.7101,2.2,37.0,19.5,45.6,6.1211,1.2887,2.7867,8.6957,640.0,14.7225,12.9145,11.2903,5.6452,4.0323,13.8538,31.0383
"Burlington, City (CY)",Burlington,CY,186948.0,1004.4,2.0,186.12,81.7793,110000.0,73.1834,15.9938,11.1314,15.852,51.9155,20.9577,44.4,61.2811,25.1845,2.5,58.1,10.7,65.0,25.253,20.5351,19.2405,24.8992,1706.0,75.0849,60.0292,11.9729,4.7107,3.5292,82.3396,65.6764
"Caledon, Town (T)",Caledon,T,76581.0,111.2,15.2,688.82,75.7666,133000.0,93.0796,17.1779,14.3508,18.3596,53.5773,14.8797,40.8,68.5063,13.27,3.2,60.9,11.2,68.5,29.015,32.6648,26.7139,10.6518,1776.0,79.0487,58.5296,11.3674,3.5077,4.1498,56.2214,62.1831
"Callander, Municipality (MU)",Callander,MU,3964.0,38.5,2.6,102.98,55.8189,101000.0,65.3979,14.2533,8.9556,11.6044,52.8507,23.7134,50.4,47.0356,22.0183,2.4,54.5,7.8,59.2,4.2886,2.2704,2.6362,12.2324,1000.0,35.1076,28.245,11.2532,5.8824,3.8363,43.7869,47.0607
"Cambridge, City (CY)",Cambridge,CY,138479.0,1225.5,6.6,112.99,79.7574,93000.0,58.4775,17.6742,12.1174,20.1547,54.2176,16.0024,39.2,64.3858,23.1519,2.7,58.4,11.5,66.0,22.9854,23.6354,20.1404,31.1196,1310.0,52.6614,46.1988,11.8081,4.97,3.7637,84.7072,62.2393
"Carleton Place, Town (T)",Carleton Place,T,12517.0,1259.4,17.6,9.94,63.5643,89000.0,55.0173,17.8957,9.1875,17.8158,52.2489,20.572,41.6,57.3187,27.6392,2.4,59.5,7.8,64.6,7.7095,6.4712,5.9639,29.9137,1432.0,59.5696,50.6729,13.5474,5.7948,4.072,85.032,57.4269
"Carling, Township (TP)",Carling,TP,1491.0,6.1,32.5,244.32,49.2341,84000.0,50.692,9.725,6.7069,11.4017,51.6432,31.8578,58.0,33.6735,28.777,2.1,49.2,7.1,53.4,8.719,0.0,3.0516,5.7554,520.0,7.9275,7.2759,10.1449,2.8986,5.0725,23.3459,36.9578
"Casselman, Village (VL)",Casselman,VL,3960.0,772.2,11.6,5.13,55.8121,99000.0,63.6678,16.4141,10.7323,18.4343,52.0202,20.9596,43.6,54.5455,25.3165,2.4,64.2,5.1,67.8,5.5556,8.5859,6.2374,27.3016,1108.0,41.2231,37.0466,10.2439,7.0732,2.9268,79.2119,56.072
"Cavan Monaghan, Township (TP)",Cavan Monaghan,TP,10016.0,32.7,13.4,306.39,62.0627,110000.0,73.1834,17.7716,9.3351,15.3754,51.7672,21.0663,44.8,55.8484,15.493,2.8,58.2,9.2,64.1,7.5379,5.1917,5.2566,8.7324,1300.0,52.0951,39.0863,8.8176,2.6052,4.2084,41.8955,50.8394
"Central Elgin, Municipality (MU)",Central Elgin,MU,13746.0,49.1,9.0,279.87,64.1953,103000.0,67.128,14.5133,9.8938,13.3857,52.5971,22.9521,48.8,49.7136,20.1465,2.5,57.1,9.4,63.0,9.7483,3.0554,4.9669,10.348,1120.0,41.9026,32.4362,11.0345,4.2069,4.0,46.6183,50.9391
"Central Frontenac, Township (TP)",Central Frontenac,TP,4892.0,4.9,11.9,991.41,57.2357,70000.0,38.5813,11.8561,8.4832,12.0605,49.2641,30.2535,55.6,41.7763,28.6697,2.2,40.5,12.4,46.0,6.6435,2.453,3.5517,12.6147,735.0,20.1019,17.8558,12.4668,5.305,4.5093,21.1407,35.7477
"Central Huron, Municipality (MU)",Central Huron,MU,7799.0,17.4,2.9,449.43,60.3774,80000.0,47.2318,16.0918,10.0013,14.1685,46.9291,26.9906,48.8,47.4468,27.5651,2.3,57.7,6.2,61.4,7.1163,1.8592,3.4876,18.8073,920.0,30.5776,27.0465,9.475,5.3777,6.0179,34.6878,44.2739
"Central Manitoulin, Municipality (MU)",Central Manitoulin,MU,2235.0,5.2,7.2,427.61,51.9597,70000.0,38.5813,10.2908,6.4877,8.7248,46.5324,36.689,58.4,33.8028,31.9048,2.1,43.1,8.3,47.0,5.1454,0.4474,2.0246,24.2857,990.0,34.5413,31.4646,17.6136,6.8182,3.9773,21.7315,34.8355
"Centre Hastings, Municipality (MU)",Centre Hastings,MU,4801.0,21.5,0.6,222.79,57.1092,77500.0,45.0692,15.4135,9.4772,14.0596,49.2606,25.6197,49.2,49.3103,25.0,2.4,48.6,10.0,53.9,6.1446,1.5622,2.9317,15.2455,910.0,30.0113,25.5816,10.7656,3.8278,3.5885,37.0838,41.369
"Centre Wellington, Township (TP)",Centre Wellington,TP,31093.0,75.9,10.3,409.41,69.6941,101000.0,65.3979,17.1743,10.549,15.9843,49.9952,22.3041,44.4,54.2903,22.6722,2.6,60.3,7.2,64.9,11.0957,5.0976,6.4854,19.4236,1340.0,54.3601,43.8792,10.2651,5.0247,4.0382,51.7218,54.0688
"Champlain, Township (TP)",Champlain,TP,8665.0,41.9,-0.5,207.02,61.0867,83000.0,49.827,12.8102,9.0017,13.041,50.7213,27.4091,52.4,44.0647,25.3333,2.3,52.2,8.0,56.7,5.8857,2.7698,3.5141,20.6667,854.0,26.8403,24.9882,12.8606,4.4471,3.9663,44.7704,45.57
"Chapleau, Township (TP)",Chapleau,TP,1942.0,147.1,-1.1,13.2,51.0135,84000.0,50.692,14.6756,10.0412,15.9629,51.7508,23.172,47.6,49.1379,30.4598,2.2,55.1,6.9,58.9,2.3172,2.5747,2.0984,23.2558,820.0,24.9151,24.4173,10.8696,4.3478,2.7174,59.5278,48.2178
"Chatham-Kent, Municipality (MU)",Chatham-Kent,MU,103988.0,42.4,2.3,2451.9,77.8276,72000.0,40.3114,15.9153,10.8618,15.9441,49.6211,23.5941,46.4,53.1177,30.3429,2.3,51.2,10.7,57.4,8.8856,6.4334,6.4031,27.9809,894.0,29.1053,28.768,12.3905,5.8615,4.1719,44.9084,48.893
"Chatsworth, Township (TP)",Chatsworth,TP,7080.0,11.9,6.8,594.44,59.7258,81000.0,48.0969,17.7966,10.3814,15.0424,49.7175,21.9633,46.0,49.2991,21.1111,2.6,54.9,8.2,59.7,6.9915,2.2599,3.5982,9.2764,810.0,24.3488,19.8271,10.5417,2.6354,5.1245,30.4581,42.3768
"Chisholm, Township (TP)",Chisholm,TP,1312.0,6.4,1.6,205.77,48.3731,78000.0,45.5017,19.0549,8.003,12.9573,52.9726,20.1982,44.8,48.1013,21.7822,2.6,49.8,14.7,58.4,8.003,1.1433,3.3727,4.8544,640.0,14.7225,11.7621,4.9587,9.9174,2.4793,23.8388,36.5242
"Clarence-Rockland, City (C)",Clarence-Rockland,C,26505.0,89.1,8.1,297.47,68.6185,106000.0,69.7232,17.7702,9.7717,16.3931,53.7634,18.6569,43.2,54.0625,20.5547,2.6,61.1,6.5,65.3,5.98,7.1119,5.6744,18.3168,1177.0,45.1302,37.0862,11.176,3.3601,4.4558,53.6087,55.1412
"Clarington, Municipality (MU)",Clarington,MU,101427.0,166.0,10.2,610.84,77.6596,112000.0,74.9135,19.344,11.2889,18.2496,53.9206,15.4495,39.2,64.767,18.2058,2.8,59.5,11.0,66.9,15.0897,16.3812,13.5326,14.3255,1620.0,70.2152,53.4483,11.2563,4.7808,4.0424,60.9584,60.0937
"Clearview, Township (TP)",Clearview,TP,14814.0,26.6,4.7,556.37,64.6993,97000.0,61.9377,15.9646,11.1381,17.4835,53.0242,19.8123,44.8,55.5305,20.377,2.6,60.6,9.4,67.0,7.8979,3.4089,4.4789,14.7217,1300.0,52.0951,40.8831,9.2317,5.0186,4.7088,39.5172,49.4069
"Cobourg, Town (T)",Cobourg,T,20519.0,915.7,5.6,22.41,66.894,77000.0,44.6367,12.3544,8.7967,13.4266,44.8121,34.0416,54.8,47.7759,32.3481,2.2,44.5,12.4,50.8,12.4275,4.8248,6.7913,31.3082,1334.0,54.0204,47.2067,13.8759,6.8501,3.63,81.2396,53.41
"Cochrane, Town (T)",Cochrane,T,5390.0,10.0,1.3,537.9,57.8887,75500.0,43.3391,17.9035,11.1317,16.2338,50.4638,20.5937,43.6,52.6814,31.1015,2.3,51.8,7.9,56.4,1.6698,1.9481,1.6558,28.7257,910.0,30.0113,29.6256,11.5702,5.5785,3.5124,28.5604,41.5753
"Cochrane, Unorganized, North Part, Unorganized (NO)","Cochrane, Unorganized, North Part",NO,2546.0,0.0,-11.1,130291.63,52.8371,97000.0,61.9377,15.5145,10.0157,14.3362,55.1846,19.2459,48.8,46.3415,21.7391,2.4,50.2,10.7,56.5,3.3386,1.7675,2.1112,12.0192,660.0,15.855,14.7043,10.0,5.8333,5.4167,0.0,37.2608
"Collingwood, Town (T)",Collingwood,T,24811.0,748.3,13.8,33.15,68.1736,82000.0,48.9619,13.3006,8.9476,14.7918,47.8014,29.9665,50.8,49.1941,34.094,2.2,48.9,12.8,56.1,12.9177,6.7309,7.9561,27.2158,1534.0,65.3454,53.9065,13.5872,11.8563,3.9377,78.8379,54.9783
"Cornwall, City (CY)",Cornwall,CY,47845.0,777.9,2.7,61.5,72.5976,60000.0,29.9308,15.6861,9.9697,17.494,48.9706,25.3841,46.4,54.6845,35.9364,2.2,45.8,12.4,52.3,8.12,9.6039,7.8164,46.3534,931.0,31.2005,35.7463,18.0601,7.0725,4.1172,79.2994,51.8998
"Cramahe, Township (TP)",Cramahe,TP,6509.0,32.2,2.4,202.22,59.1594,86000.0,52.4221,14.2111,9.6021,15.4402,53.1572,22.8914,49.2,50.495,22.2649,2.5,54.0,7.9,58.7,8.2962,3.2263,4.5168,14.6154,1020.0,36.2401,29.7527,10.9568,5.2469,5.0926,41.7175,45.4389
"Curve Lake First Nation 35, Indian reserve (IRI)",Curve Lake First Nation 35,IRI,1244.0,187.4,17.5,6.64,48.0148,53200.0,24.0484,17.283,9.6463,14.4695,51.8489,21.7042,48.4,61.6438,32.4074,2.3,36.6,20.8,46.8,,0.0,0.0,12.1212,,,3.6364,12.5,2.2727,4.5455,62.3945,37.6518
"Dawn-Euphemia, Township (TP)",Dawn-Euphemia,TP,1968.0,4.4,0.1,445.14,51.103,83000.0,49.827,19.0549,10.6707,15.2439,49.2886,20.8333,43.6,52.1739,23.5294,2.6,60.2,7.8,65.3,6.6057,4.3191,4.4715,16.9935,680.0,16.9875,16.9893,5.4726,3.4826,3.9801,20.086,38.6923
"Deep River, Town (T)",Deep River,T,4175.0,83.0,1.6,50.27,56.1682,95000.0,60.2076,16.1677,8.982,14.2515,48.8623,26.3473,47.6,48.7805,32.4397,2.2,48.5,6.6,51.9,15.3293,11.2575,11.0659,20.1072,1044.0,37.5991,32.3515,9.0909,6.5341,3.9773,52.7737,48.8379
"Deer Lake, Indian reserve (IRI)",Deer Lake,IRI,1087.0,79.6,25.4,13.65,47.1067,64500.0,33.8235,35.4186,16.0994,21.6191,46.4581,2.2999,23.4,88.4615,13.4615,4.1,42.1,13.0,49.3,,1.8399,0.92,15.3846,,,4.6154,4.6154,0.0,0.0,52.2816,39.9562
